         time |     flux | uncertainty
120.851422901 | 401404.0 |     91.5314
120.852104123 | 401382.0 |     91.5242
120.852785245 | 401416.0 |      91.527
120.853466267 | 401425.0 |     91.5261
120.854147389 | 401152.0 |      91.499
120.854828611 | 401277.0 |      91.511
120.855509733 | 401403.0 |     91.5247
120.856190855 | 401286.0 |     91.5136
120.856872076 | 401229.0 |     91.5096
120.857553198 | 401288.0 |      91.513
 120.85823432 | 401343.0 |     91.5186
120.858915442 | 401462.0 |     91.5294
120.859596564 | 401396.0 |     91.5233
120.860277686 | 401451.0 |     91.5312
120.860958808 | 401244.0 |     91.5084
 120.86164003 | 401404.0 |     91.5255
120.862321152 | 401403.0 |     91.5225
120.863002373 | 401329.0 |     91.5029
120.863683495 | 401323.0 |     91.5162
120.864364517 | 401296.0 |     91.5131
120.865045639 | 401474.0 |     91.5318
120.865726861 | 401322.0 |     91.5161
120.866407983 | 401074.0 |     91.4924
120.867089205 | 401432.0 |      91.528
120.867770327 | 401274.0 |     91.5116
120.868451448 | 401358.0 |     91.5193
 120.86913267 | 401223.0 |     91.5077
120.869813692 | 401308.0 |     91.5168
120.870494814 | 401557.0 |     91.5399
120.871176036 | 401303.0 |     91.5146
120.871857158 | 401216.0 |     91.5057
 120.87253828 | 401345.0 |     91.5205
120.873219502 | 401189.0 |      91.503
120.873900624 | 401426.0 |     91.5279
120.874581745 | 401490.0 |     91.5345
120.875262767 | 401278.0 |     91.5129
120.875943989 | 401346.0 |     91.5189
120.876625111 | 401381.0 |     91.5231
120.877306333 | 401459.0 |     91.5304
120.877987455 | 401411.0 |     91.5251
120.878668577 | 401297.0 |     91.5133
120.879349799 | 401308.0 |     91.5161
120.880030921 | 401297.0 |     91.5135
120.880711942 | 401213.0 |     91.5073
120.881393064 | 401191.0 |     91.5045
120.882074286 | 401163.0 |        91.5
120.882755408 | 401431.0 |     91.5274
 120.88343653 | 401309.0 |     91.5148
120.884117752 | 401333.0 |     91.5166
120.884798874 | 401249.0 |     91.5104
120.885479996 | 401387.0 |     91.5215
120.886161218 | 401318.0 |     91.5152
120.886842239 | 401392.0 |      91.542
120.887523361 | 401370.0 |       91.52
120.888204583 | 401391.0 |     91.5225
120.888885705 | 401232.0 |     91.5074
120.889566827 | 401157.0 |     91.5009
120.890247949 | 401402.0 |     91.5251
120.890929171 | 401258.0 |     91.5098
120.891610293 | 401181.0 |     91.5019
120.892291315 | 401410.0 |     91.5257
120.892972536 | 401383.0 |     91.5244
120.893653658 | 401221.0 |     91.5097
 120.89433478 | 401323.0 |     91.5176
120.895016002 | 401357.0 |     91.5224
120.895697124 | 401379.0 |      91.521
120.896378346 | 401377.0 |     91.5231
120.897059468 | 401290.0 |     91.5132
 120.89774049 | 401296.0 |     91.5156
120.898421611 | 401374.0 |     91.5276
120.899102833 | 401244.0 |     91.5118
120.899783955 | 401290.0 |     91.5201
120.900465177 | 401301.0 |     91.5145
120.901146299 | 401106.0 |     91.4949
120.901827421 | 401089.0 |     91.4955
120.902508643 | 401203.0 |     91.5059
120.903189665 | 401440.0 |      91.528
120.903870787 | 401405.0 |     91.5277
120.904552008 | 401221.0 |     91.5084
 120.90523313 | 401233.0 |     91.5078
120.905914252 | 401295.0 |     91.5136
120.906595474 | 401280.0 |     91.5153
120.907276596 | 401390.0 |     91.5164
120.907957718 | 401223.0 |     91.5076
 120.90863874 | 401316.0 |     91.5188
120.909319962 | 401283.0 |     91.5129
120.910001083 | 401411.0 |     91.5329
120.910682205 | 401311.0 |     91.5154
120.911363427 | 401474.0 |     91.5311
120.912044549 | 401291.0 |     91.5137
120.912725671 | 401390.0 |     91.5248
120.913406893 | 401448.0 |     91.5465
120.914087915 | 401355.0 |     91.5182
120.914769037 | 401526.0 |      91.538
120.915450259 | 401290.0 |     91.5141
 120.91613138 | 401188.0 |     91.4889
120.916812502 | 401391.0 |     91.5238
120.917493624 | 401407.0 |     91.5283
120.918174846 | 401345.0 |     91.5183
120.918855968 | 401451.0 |     91.5296
 120.91953699 | 401248.0 |      91.508
120.920218212 | 401311.0 |     91.5153
120.920899334 | 401263.0 |     91.5112
120.921580455 | 401281.0 |     91.5216
120.922261677 | 401312.0 |     91.5177
120.922942799 | 401330.0 |      91.518
120.923623921 | 401459.0 |      91.531
120.924305143 | 401447.0 |     91.5298
120.924986165 | 401312.0 |     91.5154
120.925667287 | 401366.0 |     91.5196
120.926348509 | 401560.0 |     91.5389
120.927029631 | 401404.0 |     91.5115
120.927710752 | 401418.0 |     91.5256
120.928391974 | 401275.0 |      91.513
120.929073096 | 401252.0 |      91.509
120.929754318 | 401413.0 |     91.5243
 120.93043534 | 401399.0 |     91.5239
120.931116462 | 401256.0 |     91.5106
120.931797584 | 401084.0 |     91.4927
120.932478806 | 401423.0 |     91.5277
120.933159928 | 401492.0 |      91.532
120.933841049 | 401385.0 |     91.5337
120.934522271 | 401454.0 |     91.5317
120.935203393 | 401331.0 |     91.5184
120.935884415 | 401506.0 |     91.5354
120.936565637 | 401390.0 |     91.5234
120.937246759 | 401584.0 |     91.5421
120.937927881 | 401225.0 |     91.5066
120.938609103 | 401341.0 |     91.5196
120.939290224 | 401559.0 |     91.5411
120.939971346 | 401361.0 |     91.5199
120.940652568 | 401507.0 |     91.5338
 120.94133359 | 401249.0 |     91.5091
120.942014712 | 401262.0 |     91.5095
120.942695934 | 401225.0 |     91.5098
120.943377056 | 401284.0 |     91.5144
120.944058178 | 401322.0 |     91.5159
120.944739299 | 401384.0 |     91.5224
120.945420521 | 401309.0 |      91.517
120.946101643 | 401164.0 |     91.5007
120.946782665 | 401246.0 |     91.5084
120.947463887 | 401334.0 |     91.5188
120.948145009 | 401485.0 |     91.5344
120.948826131 | 401416.0 |     91.5261
120.949507353 | 401337.0 |     91.5195
120.950188475 | 401218.0 |     91.5069
120.950869596 | 401463.0 |     91.5333
120.951550818 | 401526.0 |     91.5378
 120.95223184 | 401456.0 |      91.528
120.952912962 | 401390.0 |     91.5242
120.953594084 | 401222.0 |     91.5076
120.954275306 | 401259.0 |     91.5103
120.954956428 | 401295.0 |     91.5127
 120.95563765 | 401581.0 |     91.5431
120.956318771 | 401243.0 |     91.5089
120.956999893 | 401303.0 |     91.5165
120.957681115 | 401369.0 |     91.5215
120.958362137 | 401428.0 |     91.5274
120.959043259 | 401299.0 |     91.5052
120.959724481 | 401238.0 |     91.5116
120.960405603 | 401329.0 |     91.5188
120.961086725 | 401232.0 |      91.508
120.961767947 | 401420.0 |     91.5249
120.962449068 | 401470.0 |     91.5319
 120.96313019 | 401394.0 |     91.5249
120.963811212 | 401272.0 |     91.5127
120.964492434 | 401333.0 |      91.519
120.965173556 | 401283.0 |     91.5121
120.965854778 | 401310.0 |     91.4999
  120.9665359 | 401274.0 |     91.5105
120.967217022 | 401265.0 |     91.5123
120.967898244 | 401184.0 |     91.5098
120.968579365 | 401275.0 |     91.5117
120.969260387 | 401370.0 |     91.5235
120.969941609 | 401224.0 |     91.5225
120.970622731 | 401107.0 |     91.4956
120.971303853 | 401280.0 |      91.511
120.971984975 | 401462.0 |     91.5308
120.972666197 | 401326.0 |      91.519
120.973347318 | 401379.0 |     91.5227
 120.97402844 | 401276.0 |     91.5137
120.974709562 | 401361.0 |     91.5208
120.975390684 | 401274.0 |     91.5149
120.976071806 | 401395.0 |     91.5317
120.976753028 | 401412.0 |     91.5272
 120.97743415 | 401285.0 |     91.5144
120.978115272 | 401410.0 |     91.5257
120.978796394 | 401349.0 |     91.5204
120.979477615 | 401149.0 |     91.4994
120.980158637 | 401404.0 |     91.5224
120.980839759 | 401369.0 |     91.5225
120.981520981 | 401216.0 |     91.5059
120.982202103 | 401374.0 |     91.5208
120.982883225 | 401293.0 |     91.5204
120.983564447 | 401210.0 |     91.5061
120.984245569 | 401477.0 |     91.5312
120.984926791 | 401393.0 |     91.5246
120.985607812 | 401407.0 |     91.5267
120.986288934 | 401395.0 |     91.5262
120.986970056 | 401371.0 |     91.5233
120.987651278 | 401359.0 |     91.5204
  120.9883324 | 401299.0 |     91.5154
120.989013622 | 401182.0 |     91.5045
120.989694744 | 401273.0 |     91.5149
120.990375866 | 401477.0 |     91.5334
120.991056887 | 401496.0 |     91.5377
120.991738109 | 401162.0 |     91.4934
120.992419231 | 401319.0 |     91.5175
120.993100453 | 401382.0 |     91.5231
120.993781575 | 401337.0 |     91.5181
120.994462697 | 401367.0 |      91.524
120.995143919 | 401232.0 |     91.5058
120.995825041 | 401124.0 |     91.4993
120.996506062 | 401262.0 |      91.511
120.997187184 | 401430.0 |      91.519
120.997868406 | 401260.0 |     91.5114
120.998549528 | 401434.0 |     91.5267
 120.99923065 | 401261.0 |     91.5119
120.999911872 | 401306.0 |     91.5085
121.000592994 | 401417.0 |     91.5245
121.001274116 | 401410.0 |     91.5248
121.001955237 | 401328.0 |     91.5159
121.002636359 | 401302.0 |     91.5232
121.003317481 | 401217.0 |     91.5087
